id,level,hanzi,pinyin,meaning_vi
hsk1_001,HSK1,爱,ài,yêu; thích
hsk1_002,HSK1,八,bā,số 8
hsk1_003,HSK1,爸爸,bà ba,"bố, ba"
hsk1_004,HSK1,杯子,bēi zi,"cái cốc, ly"
hsk1_005,HSK1,北京,běi jīng,Bắc Kinh
hsk1_006,HSK1,本,běn,quyển; lượng từ cho sách
hsk1_007,HSK1,不客气,bú kè qi,không có gì
hsk1_008,HSK1,不,bù,không
hsk1_009,HSK1,菜,cài,món ăn; rau
hsk1_010,HSK1,茶,chá,trà
hsk1_011,HSK1,吃,chī,ăn
hsk1_012,HSK1,出租车,chū zū chē,xe taxi
hsk1_013,HSK1,打电话,dǎ diàn huà,gọi điện thoại
hsk1_014,HSK1,大,dà,"to, lớn"
hsk1_015,HSK1,的,de,trợ từ sở hữu/định ngữ
hsk1_016,HSK1,点,diǎn,giờ; điểm; chút
hsk1_017,HSK1,电脑,diàn nǎo,máy tính
hsk1_018,HSK1,电视,diàn shì,tivi
hsk1_019,HSK1,电影,diàn yǐng,phim điện ảnh
hsk1_020,HSK1,东西,dōng xi,"đồ vật, thứ"
hsk1_021,HSK1,都,dōu,"đều, tất cả"
hsk1_022,HSK1,读,dú,đọc
hsk1_023,HSK1,对不起,duì bu qǐ,xin lỗi
hsk1_024,HSK1,多,duō,nhiều
hsk1_025,HSK1,多少,duō shǎo,bao nhiêu
hsk1_026,HSK1,儿子,ér zi,con trai
hsk1_027,HSK1,二,èr,số 2
hsk1_028,HSK1,饭店,fàn diàn,nhà hàng; khách sạn
hsk1_029,HSK1,飞机,fēi jī,máy bay
hsk1_030,HSK1,分钟,fēn zhōng,phút
hsk1_031,HSK1,高兴,gāo xìng,vui vẻ
hsk1_032,HSK1,个,gè,"cái, chiếc; lượng từ chung"
hsk1_033,HSK1,工作,gōng zuò,công việc; làm việc
hsk1_034,HSK1,狗,gǒu,con chó
hsk1_035,HSK1,汉语,hàn yǔ,"tiếng Hán, tiếng Trung"
hsk1_036,HSK1,好,hǎo,"tốt, hay, khỏe"
hsk1_037,HSK1,号,hào,số; ngày
hsk1_038,HSK1,喝,hē,uống
hsk1_039,HSK1,和,hé,và; với
hsk1_040,HSK1,很,hěn,rất
hsk1_041,HSK1,后面,hòu miàn,phía sau
hsk1_042,HSK1,回,huí,"về, quay lại"
hsk1_043,HSK1,会,huì,biết; có thể; sẽ
hsk1_044,HSK1,几,jǐ,"mấy, bao nhiêu"
hsk1_045,HSK1,家,jiā,nhà; gia đình
hsk1_046,HSK1,叫,jiào,tên là; gọi
hsk1_047,HSK1,今天,jīn tiān,hôm nay
hsk1_048,HSK1,九,jiǔ,số 9
hsk1_049,HSK1,开,kāi,mở; lái; bắt đầu
hsk1_050,HSK1,看,kàn,"xem, nhìn"
hsk1_051,HSK1,看见,kàn jiàn,nhìn thấy
hsk1_052,HSK1,块,kuài,đồng; miếng; cục
hsk1_053,HSK1,来,lái,đến
hsk1_054,HSK1,老师,lǎo shī,giáo viên
hsk1_055,HSK1,了,le,trợ từ hoàn thành/thay đổi
hsk1_056,HSK1,冷,lěng,lạnh
hsk1_057,HSK1,里,lǐ,bên trong
hsk1_058,HSK1,六,liù,số 6
hsk1_059,HSK1,吗,ma,trợ từ nghi vấn
hsk1_060,HSK1,妈妈,mā ma,"mẹ, má"
hsk1_061,HSK1,买,mǎi,mua
hsk1_062,HSK1,猫,māo,con mèo
hsk1_063,HSK1,没关系,méi guān xi,không sao
hsk1_064,HSK1,没有,méi yǒu,không có; chưa
hsk1_065,HSK1,米饭,mǐ fàn,cơm
hsk1_066,HSK1,名字,míng zi,tên
hsk1_067,HSK1,明天,míng tiān,ngày mai
hsk1_068,HSK1,哪,nǎ,nào
hsk1_069,HSK1,哪儿,nǎ er,ở đâu
hsk1_070,HSK1,那,nà,"kia, đó"
hsk1_071,HSK1,呢,ne,trợ từ nghi vấn/nhấn mạnh
hsk1_072,HSK1,能,néng,có thể
hsk1_073,HSK1,你,nǐ,"bạn, anh, chị"
hsk1_074,HSK1,年,nián,năm
hsk1_075,HSK1,女儿,nǚ ér,con gái
hsk1_076,HSK1,朋友,péng you,bạn bè
hsk1_077,HSK1,漂亮,piào liang,xinh đẹp
hsk1_078,HSK1,苹果,píng guǒ,quả táo
hsk1_079,HSK1,七,qī,số 7
hsk1_080,HSK1,前面,qián miàn,phía trước
hsk1_081,HSK1,钱,qián,tiền
hsk1_082,HSK1,请,qǐng,mời; xin vui lòng
hsk1_083,HSK1,去,qù,đi
hsk1_084,HSK1,热,rè,nóng
hsk1_085,HSK1,人,rén,người
hsk1_086,HSK1,认识,rèn shi,quen biết; nhận ra
